TimeStamp,Origin,Trip,Destination,ScheduledTime,Lateness,Track,Status
1520206905,"North Station","2159","Newburyport",1520208900,0,,"On Time"
1520206905,"North Station","2411","Wachusett",1520211300,0,,"On Time"
1520206905,"North Station","2313","Lowell",1520211600,0,,"On Time"
1520206905,"North Station","2111","Rockport",1520213400,0,,"On Time"
1520206905,"North Station","2209","Haverhill",1520214000,0,,"On Time"
1520206905,"South Station","2081","Greenbush",1520201400,0,,"Bus Substitution"
1520206905,"South Station","2813","Providence",1520207100,0,"5","Now Boarding"
1520206905,"South Station","2775","Readville",1520207400,0,"10","Now Boarding"
1520206905,"South Station","2715","Forge Park / 495",1520209200,0,,"On Time"
1520206905,"South Station","2777","Readville",1520211000,0,,"On Time"
1520206905,"South Station","2083","Greenbush",1520211600,0,,"On Time"
1520206905,"South Station","2013","Middleboro/Lakeville",1520212200,0,,"On Time"
1520206905,"South Station","2039","Kingston",1520212800,0,,"On Time"
1520206905,"South Station","2515","Worcester / Union Station",1520212800,0,,"On Time"
